col1,col2,from_page
Payslip for the month of April 2017,,1
,,1
Employee Code Company,,1
,,1
Employee Name Category,,1
Function Bank Name,,1
Department CostCenter,,1
Bank Account Number Location,,1
Grade Permanent Account Number,,1
Designation PF Account Number,,1
Branch WBSCODE,,1
Date of Joining,,1
Days Worked LWP,,1
Esic Account Number Arrears Days,,1
UAN Number,,1
,,1
Earnings Monthly Rate Current Arrears Total Deductions,,1
Month Particulars,Amount,1
HRA Basic Salary 4986.00 9972.00 9972.00 4986.00 0.00 0.00 4986.00 9972.00 MeDICLAIM DED INCENTIVE CONTRA,"19,340.00 450.00",1
"ROW” 14314,00 1600.00 14314.00 1600.00 . 0.00 0.00 14314.00 1600.00 Provident Fund Professional Tax",187-00 200.00,1
INCENTIVE1 0.00 19340.00 0.00 19340.00   Income Tax,116.00,1
"Gross Eamings 50,212.00 Total Deductions","21,303.00",1
,,1
"NetSalary : 28,909.00",,1
In words : Twenty Eight Thousand Nine Hundred Nine Only (All AmountIsIn z),,1
,,1
oe,,1
