Database,Initial sending,Reminder 1,Final Reminder
First Sending (4.444 contacts),4 July 06,19 July 06,22 September 06
Second Sending (4.115 contacts),26 July 06,4 August 06,22 September 06
Marie Curie contacts (2.731 contacts),20 July 06,4 September 06,22 September 06
ERACAREERS portal email list (6.000,,,
"",20 July 06,N/A,N/A
researchers + 1.500 organisations),,,
Contacts Austria conference (200,,,
"",20 July 06,N/A,N/A
contacts),,,
Third Sending (822 contacts),15 September 06,N/A,22 September 06
